t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
25.63822675,-0.73,1.49,9.61,-12.25,-28.31,29.56,-12.19,-16.75,-44.5,-0.53,-0.07,0.05,0.84,
25.96451449,0,0.79,9.36,-10.81,27.88,22.94,-18.19,-12,-44.06,-0.59,-0.04,0.03,0.8,
26.2891686,-1.61,0.67,9.62,9.06,0.63,27,-11.38,-9.06,-47.25,-0.64,-0.09,-0.01,0.76,
26.61626315,-0.11,1.6,9.32,11.81,-18.06,28.5,-15.88,-9.69,-46.5,-0.69,-0.07,0.06,0.72,
26.940979,-0.68,1.73,9.48,-8.06,40.94,16.94,-15.88,-8.69,-46.5,-0.73,-0.1,0.03,0.67,
27.2670393,-1.57,1.36,9.17,-7.94,-23.13,28.19,-10.56,-4.88,-48.06,-0.77,-0.11,-0.01,0.63,
27.59222245,0.16,1.02,9.47,-7.75,2.94,24.06,-18.75,-0.5,-46.19,-0.81,-0.05,0.04,0.58,
27.91675758,-1.2,0.73,9.82,3.63,30.56,20.5,-14.38,2.38,-47.69,-0.84,-0.08,-0.03,0.53,
28.2438488,-1.07,1.49,9.26,12.56,-23.25,28.31,-10.25,0.88,-47.75,-0.87,-0.1,-0.01,0.48,
28.56862044,-0.08,1.84,9.29,-6.81,14.06,19.13,-14.75,1.69,-47,-0.9,-0.1,0.03,0.43,
28.895123,-1.45,1.23,9.26,-12.25,16.13,17.5,-7.69,6.06,-47,-0.92,-0.09,-0.04,0.38,
29.21978378,-0.56,0.85,9.62,-2.75,-25.38,23.88,-8.06,9.5,-47,-0.94,-0.06,-0.02,0.33,
29.54554296,-0.19,1.08,9.61,6.25,22.31,19.06,-9.56,9.88,-46.19,-0.96,-0.07,0,0.27,
29.87028146,-1.53,1.39,9.18,6.19,11,19.88,-2.88,9.88,-48.25,-0.97,-0.1,-0.06,0.22,
30.19684029,-0.64,1.84,9.48,-5.25,-21,26.31,-2.06,8.38,-46.69,-0.98,-0.1,-0.01,0.16,
30.52279258,-0.46,1.04,9.52,-15.94,28.13,16.13,-3.56,11.25,-46.69,-0.99,-0.07,-0.02,0.1,
30.84850001,-1.47,0.55,9.38,1.75,-8.63,19.38,4.5,14.69,-45,-1,-0.05,-0.07,0.05,
31.17603374,-0.05,1.31,9.73,12.13,-11,19,2,12.38,-46,-1,-0.07,-0.01,0,
31.49954104,-0.96,1.62,9.09,0.5,36.44,9.44,5.25,9.88,-46.69,-0.99,-0.09,-0.06,-0.04,
31.82581377,-1.29,1.58,9.37,-7.63,-27.88,19.31,10.06,10.19,-45.88,-0.99,-0.08,-0.07,-0.08,
32.15556979,0.09,1,9.44,-7,10.69,13.69,5.25,11.25,-46.56,-0.99,-0.06,-0.01,-0.13,
32.47560406,-1.57,0.76,9.7,1.69,12.38,11.06,11.56,12.06,-45.38,-0.98,-0.04,-0.08,-0.17,
32.80164027,-0.4,1.34,9.33,7.75,-19.06,15.44,10.88,9.56,-45.06,-0.98,-0.07,-0.04,-0.21,
33.13053107,-0.77,1.35,9.6,-2.19,25.69,5.5,10.88,8.75,-44.19,-0.97,-0.07,-0.06,-0.24,
33.453794,-1.64,1.32,9.27,-5,-18.06,11.94,16.38,9.19,-43.88,-0.96,-0.05,-0.09,-0.27,
33.77871847,0.25,1.13,9.45,-1.13,-5.06,9.56,10.88,8.75,-46.25,-0.95,-0.06,-0.01,-0.3,
34.10548282,-1.26,0.91,9.71,-0.31,29.88,3.19,16.06,8.75,-44.25,-0.94,-0.04,-0.08,-0.32,
34.43008685,-0.96,1.41,9.47,5.94,-30.31,12.88,17.5,7,-45.06,-0.94,-0.05,-0.07,-0.34,
