t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
42553.56431,-0.68,-0.36,9.57,0.06,0.06,0.06,-7,33.25,-41.06,1,-0.02,0.04,0
42877.86579,-0.69,-0.34,9.59,0,0,0.25,-7,32.88,-41.5,1,-0.02,0.04,0
43204.80227,-0.68,-0.34,9.6,0.06,0.13,0.06,-7.38,33.25,-42.25,1,-0.02,0.04,0
43529.42038,-0.69,-0.34,9.59,-0.13,0,0.13,-7.38,33.69,-41.88,1,-0.02,0.04,0
43856.58383,-0.67,-0.35,9.58,0,-0.13,0,-7,33.69,-41.06,1,-0.02,0.04,0
44180.77207,-0.68,-0.33,9.6,0.06,0.19,0,-7.75,32.88,-41.5,1,-0.02,0.04,0
44507.69234,-0.68,-0.33,9.57,0.06,-0.06,0.19,-7.75,33,-42.69,1,-0.02,0.04,0
44832.38792,-0.67,-0.37,9.59,0.06,0.06,-0.06,-7.75,33.69,-43.5,1,-0.02,0.04,0
45159.80196,-0.67,-0.36,9.57,-0.06,-0.13,0.13,-7.75,33.69,-41.88,1,-0.02,0.04,0
45484.42864,-0.68,-0.35,9.58,0.06,0,0.06,-8.06,32.88,-42.69,1,-0.02,0.04,0
45811.76448,-0.63,-0.35,9.57,0.06,0,-0.06,-7.38,33.69,-42.25,1,-0.02,0.04,0
46136.56545,-0.67,-0.35,9.58,0,0,0.06,-8.88,32.88,-42.25,1,-0.02,0.04,0
46463.06634,-0.67,-0.33,9.55,0.06,0.13,0,-7.38,33.25,-41.06,1,-0.02,0.04,0
46787.34422,-0.66,-0.36,9.59,0.06,-0.06,0.13,-7.38,33.25,-42.25,1,-0.02,0.04,0
47114.54701,-0.7,-0.35,9.57,0,0,0,-7.38,33.69,-41.88,1,-0.02,0.04,0
47439.30268,-0.66,-0.34,9.56,-0.06,-0.19,0.06,-7,33.69,-42.69,1,-0.02,0.04,0
47767.01593,-0.68,-0.35,9.59,0,-0.13,0.06,-7,34.38,-42.25,1,-0.02,0.04,0
48090.69562,-0.68,-0.35,9.56,0,-0.06,0.13,-7.38,33,-43.06,1,-0.02,0.04,0
48419.24548,-0.66,-0.37,9.58,-0.06,-0.06,0,-7.38,32.88,-41.06,1,-0.02,0.04,0
48742.1267,-0.68,-0.37,9.57,0,0.06,0.13,-7.75,32.56,-41.56,1,-0.02,0.04,0
49070.40215,-0.7,-0.35,9.54,0,-0.06,0.13,-7.75,33,-41.56,1,-0.02,0.04,0
49393.89253,-0.68,-0.36,9.57,0.06,0,0.06,-7,33,-42.69,1,-0.02,0.04,0
49721.10796,-0.69,-0.36,9.59,0.13,0,0,-6.56,33.25,-41.88,1,-0.02,0.04,0
50045.84885,-0.69,-0.34,9.57,-0.06,0,0.06,-7.38,33.25,-43.5,1,-0.02,0.04,0
50373.04306,-0.67,-0.35,9.57,0,0.06,-0.06,-7.38,32.88,-41.88,1,-0.02,0.04,0
50697.37005,-0.67,-0.35,9.57,0,0.06,-0.06,-8.06,33.25,-40.75,1,-0.02,0.04,0
51024.83463,-0.68,-0.34,9.56,-0.06,-0.13,0,-7,33.25,-41.56,1,-0.02,0.04,0
51348.69981,-0.69,-0.36,9.57,-0.06,0.13,0.06,-7.38,33.25,-41.56,1,-0.02,0.04,0
51676.32914,-0.67,-0.36,9.56,0,-0.13,-0.13,-7,32.25,-41.88,1,-0.02,0.04,0
52000.36287,-0.68,-0.35,9.58,0.06,0.06,0,-8.06,33.25,-42.25,1,-0.02,0.04,0
52327.61765,-0.67,-0.36,9.56,-0.06,0.13,-0.06,-6.25,33.25,-41.88,1,-0.02,0.04,0
52652.74286,-0.68,-0.35,9.57,0.06,-0.06,0.13,-7,33,-41.88,1,-0.02,0.04,0
52979.57182,-0.69,-0.33,9.59,-0.13,0.13,0,-7.75,33,-43.06,1,-0.02,0.04,0
53304.42238,-0.67,-0.37,9.56,-0.06,-0.19,0.06,-7.75,32.88,-42.69,1,-0.02,0.04,0
53631.29759,-0.67,-0.37,9.57,0,0,0.06,-8.06,33.25,-42.69,1,-0.02,0.04,0
53956.5146,-0.69,-0.33,9.57,-0.06,-0.06,0,-7.75,32.56,-41.5,1,-0.02,0.04,0
54282.59039,-0.67,-0.36,9.58,0,0.06,0.06,-7.38,33.25,-40.38,1,-0.02,0.04,0
54607.23472,-0.66,-0.34,9.59,0.06,0.06,-0.06,-7.75,34.06,-41.88,1,-0.02,0.04,0
54933.79736,-0.68,-0.34,9.59,0.19,0.06,0.06,-7,33.69,-42.25,1,-0.02,0.04,0
55261.67798,-0.68,-0.35,9.57,0.06,0.13,-0.13,-7.38,32.56,-41.88,1,-0.02,0.04,0
55586.0033,-0.67,-0.34,9.56,0.06,0.06,0,-7.38,33.25,-42.25,1,-0.02,0.04,0
55910.20131,-0.67,-0.34,9.56,-0.06,0,0,-7,33.25,-41.06,1,-0.02,0.04,0
56238.23929,-0.69,-0.37,9.57,-0.13,-0.13,-0.06,-7.75,32.88,-42.69,1,-0.02,0.04,0
56561.54704,-0.68,-0.35,9.56,0,0.13,0.06,-7,33,-42.69,1,-0.02,0.04,0
56889.21857,-0.67,-0.37,9.56,0,-0.06,0,-7.75,33.25,-41.88,1,-0.02,0.04,0
57213.04655,-0.65,-0.34,9.58,0,0.06,-0.06,-7.75,33.25,-42.69,1,-0.02,0.04,0
57540.78245,-0.69,-0.35,9.57,0.06,0.06,0.06,-8.06,34.06,-43.06,1,-0.02,0.04,0
57864.7027,-0.68,-0.36,9.61,0.06,0.13,0.06,-8.06,32.88,-42.69,1,-0.02,0.04,0
58192.34657,-0.68,-0.36,9.57,0.13,0,-0.06,-7.75,33.25,-42.25,1,-0.02,0.04,0
58516.95085,-0.67,-0.34,9.58,0,-0.19,0.13,-7.75,33.69,-41.5,1,-0.02,0.04,0
58843.47916,-0.68,-0.33,9.57,0,-0.06,0.19,-6.56,33.25,-42.69,1,-0.02,0.04,0
59168.33377,-0.68,-0.34,9.58,0,-0.13,0.06,-7,33.25,-41.88,1,-0.02,0.04,0
59496.36459,-0.67,-0.35,9.57,0,-0.06,0.06,-7.38,33.25,-42.25,1,-0.02,0.04,0
59820.08362,-0.67,-0.36,9.58,0,0.06,0.19,-7.38,33.69,-42.25,1,-0.02,0.04,0
60147.00484,-0.65,-0.36,9.58,0.06,-0.06,0,-7,33.69,-42.69,1,-0.02,0.04,0
60472.58353,-0.68,-0.35,9.56,0.06,-0.13,0,-7.38,34.06,-42.25,1,-0.02,0.04,0
60799.06321,-0.67,-0.37,9.57,0.19,-0.06,0,-7.38,33,-42.25,1,-0.02,0.04,0
61123.97742,-0.69,-0.35,9.57,-0.06,-0.06,-0.13,-7.38,32.56,-42.25,1,-0.02,0.04,0
61451.05839,-0.67,-0.34,9.58,0,0,0.06,-7.75,33,-42.69,1,-0.02,0.04,0
61774.93954,-0.67,-0.35,9.58,-0.06,0.31,0.13,-7.75,33.69,-43.5,1,-0.02,0.04,0
62102.10013,-0.67,-0.34,9.58,0.06,0,0.19,-8.06,33.25,-41.88,1,-0.02,0.04,0
62426.85127,-0.67,-0.33,9.59,0,0.13,-0.06,-7,33,-41.56,1,-0.02,0.04,0
62753.33929,-0.67,-0.35,9.57,0.06,0,0,-7,33.69,-41.88,1,-0.02,0.04,0
63078.04179,-0.67,-0.36,9.54,0,0,0.13,-7,32.56,-41.56,1,-0.02,0.04,0
63404.93488,-0.68,-0.35,9.56,0.06,0.06,0.06,-7,33,-41.88,1,-0.02,0.04,0
63729.79808,-0.7,-0.37,9.58,-0.13,-0.06,0.06,-7.75,33,-41.56,1,-0.02,0.04,0
64056.66924,-0.67,-0.34,9.55,0,-0.06,0,-7,33.69,-42.25,1,-0.02,0.04,0
64381.99329,-0.68,-0.33,9.55,0.06,-0.19,-0.06,-8.06,33.25,-43.5,1,-0.02,0.04,0
64709.35488,-0.67,-0.35,9.56,-0.06,-0.13,0.13,-6.56,33.25,-42.69,1,-0.02,0.04,0
65033.99038,-0.67,-0.35,9.58,0,-0.06,0.06,-7.75,33.25,-42.25,1,-0.02,0.04,0
65360.22496,-0.66,-0.33,9.57,0.06,0.13,0,-7.75,32.56,-41.56,1,-0.02,0.04,0
65684.63898,-0.66,-0.37,9.56,0,0.13,-0.06,-7,33,-41.06,1,-0.02,0.04,0
66012.22253,-0.69,-0.34,9.57,-0.06,0,-0.13,-8.06,32.56,-41.56,1,-0.02,0.04,0
66336.58576,-0.68,-0.33,9.56,0,-0.06,0,-7.75,33,-41.56,1,-0.02,0.04,0
66664.51621,-0.68,-0.35,9.55,0.06,-0.19,-0.06,-6.56,32.88,-42.69,1,-0.02,0.04,0
