t,Ax,Ay,Az,Bx,By,Bz,h
2543.7874794006348,-1,0,10,26,-155,-86,176.64
2559.7121715545654,-1,0,10,26,-153,-87,177.71
2575.929880142212,-1,0,10,26,-155,-87,177.53
2592.0937061309814,-1,0,10,26,-155,-86,177.71
2604.9716472625732,-1,0,10,24,-155,-86,177.35
2621.0505962371826,-1,0,10,24,-148,-88,177.44
2637.06111907959,-1,0,10,21,-153,-88,177.35
2653.0706882476807,-1,0,10,21,-153,-86,177.53
2670.2184677124023,-1,0,10,26,-153,-86,177.35
2686.281442642212,-1,0,10,26,-160,-86,177.35
2699.2545127868652,-1,0,10,21,-158,-86,177.35
